Department,Object Name,Title,Culture,Period,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date
Asian Art,Painting,,China,Tang dynasty (618–907),,Unidentified Artist,,,Unidentified Artist,,,,dated 807,807
Asian Art,Painting,,Central Asia,,,,,,,,,,8th century,700
Asian Art,Painting,,China,Sui dynasty (581–618),,Unidentified Artist,,,Unidentified Artist,,,,dated 607,607
Medieval Art,Painting,"Exodus Painting, five elements from a painted hanging depicting the Crossing of the Red Sea",Byzantine,,,,,,,,,,A.D. mid-2nd–mid-4th century,100
Islamic Art,Painting,After 'Khusraw and Shirin',,,,Shahpour Pouyan,"Iranian, born Isfahan, Iran, 1980",,"Pouyan, Shahpour",,1980      ,9999      ,2009,1959
Islamic Art,Painting,After 'Portrait of the Uzbek emir Shaybani Khan',,,,Shahpour Pouyan,"Iranian, born Isfahan, Iran, 1980",,"Pouyan, Shahpour",,1980      ,9999      ,2009,1959
Islamic Art,Painting,1907 (Palimpsest #9),,,,Kamrooz Aram,"born Shiraz, Iran, 1978",,"Aram, Kamrooz",Iranian,1978      ,9999      ,2013,1998
Islamic Art,Painting,"Untitled, 2013",,,,Golnaz Fathi,"(Iranian, born Tehran, 1972)",,"Fathi, Golnaz",Iranian,1972      ,9999      ,2013,1988
Islamic Art,Painting,Pipes,,,,Shiva Ahmadi,"born Tehran, Iran, 1975",,"Ahmadi, Shiva",,1975      ,9999      ,2013,1988
Islamic Art,Painting,Rival,,,,Farah Ossouli,"Iranian, born Zanjan, 1953",,"Ossouli, Farah",Iranian,1953      ,9999      ,2011,1986
Islamic Art,Painting,Interrogation,,,,Ali Banisadr,"born Tehran, Iran, 1976",,"Banisadr, Ali",Iranian,1976      ,9999      ,2010,1985
Islamic Art,Painting,"Shattered Mirror, Shattered Music",,,,Reza Derakhshani,"Iranian, born Sangsar, 1952",,"Derakhshani, Reza",Iranian,1952      ,9999      ,2010,1985
Islamic Art,Painting,I Am Baghdad V,,,,Ayad Alkadhi,"Iraqi, born Baghdad, 1971",,"Alkadhi, Ayad",,1971      ,9999      ,2008,1973
Islamic Art,Painting,Portrait of Shamloo,,,,Hannibal Alkhas,"born Iran, Kermanshah 1930–2010 California",,"Alkhas, Hannibal",,1930      ,2010      ,2002,1977
Islamic Art,Painting,"History of Anatolian Folk Music, 2000–2001",,,,Peter Hristoff,"born Istanbul, Turkey, 1958",,"Hristoff, Peter",American (born Turkey),1958      ,9999      ,2000–2001,1975
Islamic Art,Painting,Allah,,,,Isma'il Gulgee,"(Pakistani, Peshawar 1926–2007 Karachi)",,"Gulgee, Isma'il",,1926      ,2007      ,1999,1974
Islamic Art,Painting,Ferman,,,,Erol Akyavas,Turkish; Istanbul 1932–1999 Istanbul,,"Akyavas, Erol",,1932      ,1999      ,1992,1967
Photographs,Painting,Spring,,,,Elisheva Biernoff,"American, born 1980",,"Biernoff, Elisheva",,1980-08-22,9999      ,2016,2016
Asian Art,Painting,當代   鄭重賓   拓展地带|Unfolding Landscape,China,,,Zheng Chongbin,"American, born Shanghai, 1961",,Zheng Chongbin,,1961      ,9999      ,2015,2015
Modern and Contemporary Art,Painting,Crack Between the Floorboards,,,,Mark Bradford,"Mark Bradford, American, Los Angeles, California 1961",,"Bradford, Mark",,1961      ,2061      ,2014,2014
Modern and Contemporary Art,Painting,Untitled (Studio),,,,Kerry James Marshall,"American, born Birmingham, Alabama 1955",,"Marshall, Kerry James",,1955      ,2055      ,2014,2014
"Arts of Africa, Oceania, and the Americas",Painting,Lightning and the Rock,,,,Nonggirrnga,born 1938,,Nonggirrnga,,1938      ,9999      ,2014,2014
"Arts of Africa, Oceania, and the Americas",Painting,Lightning and the Rock,,,,Nonggirrnga,born 1938,,Nonggirrnga,,1938      ,9999      ,2014,2014
"Arts of Africa, Oceania, and the Americas",Painting,Lightning and the Rock,,,,Nonggirrnga,born 1938,,Nonggirrnga,,1938      ,9999      ,2014,2014
"Arts of Africa, Oceania, and the Americas",Painting,Lightning and the Rock,,,,Nonggirrnga,born 1938,,Nonggirrnga,,1938      ,9999      ,2014,2014
Asian Art,Painting,,Tibet,,,Tenzing Rigdol,born Kathmandu 1982,,"Rigdol, Tenzing",Tibetan,1982      ,9999      ,2013,2013
Islamic Art,Painting,"Untitled, 2013",,,,Nasrollah Afjei,"Iranian, born Tehran, 1933",,"Afjei, Nasrollah",Iranian,1933      ,9999      ,2013,2013
Modern and Contemporary Art,Painting,Powder Plant,,,,Thornton Dial,"American, Emelle, Alabama 1928–2016 McCalla, Alabama",,"Dial, Thornton",,1928      ,2016      ,2013,2013
Islamic Art,Painting,String,,,,Shirazeh Houshiary,"born Shiraz, Iran, 1955",,"Houshiary, Shirazeh",Iranian,1955      ,9999      ,2012,2012
Islamic Art,Painting,Rouyesh (Growth),,,,Seyed Mohammad Ehsaey,"Iranian, born Qazvin, 1939",,"Ehsaey, Seyed Mohammad",Iranian,1939      ,9999      ,2012,2012
Modern and Contemporary Art,Painting,Accordingly,,,,Jenny Holzer,"American, born Gallipolis, Ohio 1950",,"Holzer, Jenny",American,1950      ,2050      ,2012,2012
Modern and Contemporary Art,Painting,Self-Portrait Sitting on a Striped Chaise Lounge,,,,Chantal Joffe,"British, born St. Albans 1969",,"Joffe, Chantal",British,1969      ,9999      ,2012,2012
Modern and Contemporary Art,Painting,Autocide,,,,Nate Lowman,"American, born Las Vegas 1979",,"Lowman, Nate",,1979      ,2079      ,2012,2012
Modern and Contemporary Art,Painting,Jailbreak,,,,Nate Lowman,"American, born Las Vegas 1979",,"Lowman, Nate",American,1979      ,2079      ,2012,2012
Modern and Contemporary Art,Painting,Morgenthau Plan,,,,Anselm Kiefer,"German, born Donaueschingen, 1945",,"Kiefer, Anselm",German,1945      ,2045      ,2012,2012
Islamic Art,Painting,"Eternal War, Second Circle",,,,Samira Abbassy,"born Ahwaz, Iran, 1965",,"Abbassy, Samira",,1965      ,9999      ,2011,2011
Modern and Contemporary Art,Painting,Buyku,,,,Gunybi Ganambarr,"Australian (Aboriginal), born 1973",,"Ganambarr, Gunybi",,1973      ,9999      ,2011,2011
Modern and Contemporary Art,Painting,Rush Hour,,,,George Condo,"American, born Concord, New Hampshire, 1957",,"Condo, George",American,1957      ,2057      ,2010,2010
Modern and Contemporary Art,Painting,Diagnosis,,,,Amy Bennett,"American, born Portland, Maine 1977",,"Bennett, Amy",American,1977      ,2077      ,2010,2010
Modern and Contemporary Art,Painting,Hypochondriac,,,,Amy Bennett,"American, born Portland, Maine 1977",,"Bennett, Amy",American,1977      ,2077      ,2010,2010
Islamic Art,Painting,Sphere,,,,Masud Arabshahi,"Iranian, born Tehran, 1935",,"Arabshahi, Masud",,1935      ,9999      ,1986,1960
Asian Art,Painting,,China,,,Shao Fan,"Chinese, born 1964",,Shao Fan,Chinese,1964      ,2064      ,2009,2009
Islamic Art,Painting,"Rustam in the Dead of Winter, 2009",,,,Fereydoun Ave,"Iranian, born Tehran, 1945",,"Ave, Fereydoun",Iran,1945      ,9999      ,2009,2009
Modern and Contemporary Art,Painting,Necessity 7,,,,Peter Sacks,"American, born Port Elizabeth, South Africa 1950",,"Sacks, Peter",,1950      ,2050      ,2007–9,2007
Modern and Contemporary Art,Painting,"Henry Geldzahler, 1964",,,,Dennis Hopper,"American, Dodge City, Kansas 1936–2010 Venice, California",,"Hopper, Dennis",American,1936      ,2010      ,2009,2009
"Arts of Africa, Oceania, and the Americas",Painting,Garak I,,,,Yunupingu,,,"Yunupingu, Gulumbu",,,,2009,2009
Modern and Contemporary Art,Painting,Green Room,,,,Betty Woodman,"American, Norwalk, Connecticut, 1930–2018 New York",,"Woodman, Betty",American,1930      ,2018      ,2008,2008
Modern and Contemporary Art,Painting,"Fair of Face, Full of Woe",,,,Cecily Brown,"British, born London 1969",,"Brown, Cecily",British,1969      ,9999      ,2008,2008
Modern and Contemporary Art,Painting,Shadows of the Field,,,,Thornton Dial,"American, Emelle, Alabama 1928–2016 McCalla, Alabama",,"Dial, Thornton",,1928      ,2016      ,2008,2008
Modern and Contemporary Art,Painting,Marrapinti,,,,Doreen Reid Nakamarra,"Austrailian (Aboriginal), ca. 1955–2009 Papunya",,"Reid Nakamarra, Doreen",,1955      ,2009      ,2008,2008
Islamic Art,Painting,Ribbon Mania,,,,Burhan Doğançay,"American, born Turkey, Istanbul 1929–2013 Istanbul",,"Doğançay, Burhan",,1929      ,2013      ,1982,1957
Modern and Contemporary Art,Painting,Lot 010907 (7wl),,,,Donald Moffett,"American, born San Antonio, Texas 1955",,"Moffett, Donald",American,1955      ,2055      ,2007,2007
